Words,Sentences
quite,the movie was quite interesting
relationship,their relationship is very strong
religious,he follows religious practices
remain,the bird remained on the branch
remember,remember to lock the door
remove,remove the trash from the bin
report,the report will be ready soon
represent,she represents the company
Republican,he is a Republican senator
require,the project will require more time
research,research is key to success
resource,water is a vital resource
respond,he didn't respond to the email
social,social media is very popular
society,society has changed over time
soldier,the soldier returned home safely
some,some people prefer tea
somebody,somebody left their umbrella here
someone,someone will come soon
something,something is wrong with the car
sometimes,sometimes life is unpredictable
son,his son is very talented
song,the song is very catchy
soon,see you soon
sort,sort the papers by date
teacher,the teacher explained the lesson
team,the team won the match
technology,technology is advancing rapidly
television,they watched television together
tell,tell me the truth
ten,there are ten apples
tend,she tends to be quiet
term,the term lasts three months
traditional,it's a traditional recipe
training,the training session was helpful
travel,travel broadens the mind
treat,treat everyone with respect
treatment,the treatment was effective
under,look under the table
understand,I understand your point
unit,the unit is on the second floor
until,wait until tomorrow
upward,the balloon went upward
upon,the cat jumped upon the table
umbrella,always carry an umbrella
value,the painting has great value
various,there are various options
very,he is very tall
victim,the victim was unharmed
view,the view from here is beautiful
violence,violence is never the answer
visit,let's visit the museum
voice,her voice is very soothing
western,the western sky was red
what,what is your favorite color
whatever,"whatever happens, stay calm"
when,when will you arrive
where,where did you find this
whether,whether you go or stay
which,which one do you prefer
while,while you were out
yard,the yard needs mowing
yeah,"yeah, I agree with you"
year,the year has flown by
yes,"yes, that sounds good"
yet,"not yet, maybe later"
youth,the youth center is open
young,the young artist is talented
your,your keys are on the table
yourself,take care of yourself
